"","label_name","GPSLongitude","GPSLatitude"
"106","Rock",-65.8110003266484,-45.0200953613967
"107","Coarse sand (with shell fragments)",-65.8109612669796,-45.0200715567917
"108","Rock",-65.8109194412827,-45.020048590377
"109","Rock",-65.8108827285469,-45.0200239475816
"110","Coarse sand (with shell fragments)",-65.8108827285469,-45.0200239475816
"111","Coarse sand (with shell fragments)",-65.8107633702457,-45.0199547968805
"112","Rock",-65.8107633702457,-45.0199547968805
"113","Rock",-65.8106060419232,-45.0198604166508
"114","Coarse sand (with shell fragments)",-65.8105643000454,-45.019837282598
"115","Rock",-65.8103948179632,-45.0197470933199
"116","Rock",-65.8103141002357,-45.019702501595
"117","Coarse sand (with shell fragments)",-65.8101910538971,-45.0196352787316
"118","Coarse sand (with shell fragments)",-65.8100225776434,-45.0195533037186
"119","Rock",-65.8099768124521,-45.0195346120745
"120","Rock",-65.8099320530891,-45.019514746964
"121","Coarse sand (with shell fragments)",-65.8098147902638,-45.0194495357573
"122","Coarse sand (with shell fragments)",-65.809741448611,-45.0194033514708
"123","Rock",-65.809511449188,-45.0192559976131
"124","Rock",-65.8094715513289,-45.0192325282842
"125","Coarse sand (with shell fragments)",-65.8093985449523,-45.0191816501319
"126","Coarse sand (with shell fragments)",-65.8093235269189,-45.0191308557987
"127","Coarse sand (with shell fragments)",-65.8092897478491,-45.0191045366228
"128","Rock",-65.8092223573476,-45.0190524850041
"129","Rock",-65.8091508597136,-45.0190027803183
"130","Rock",-65.8090770151466,-45.0189546681941
"131","Coarse sand (with shell fragments)",-65.8090024162084,-45.0189038738608
"132","Coarse sand (with shell fragments)",-65.8089667931199,-45.0188765488565
"133","Coarse sand (with shell fragments)",-65.8111180085689,-45.0201691221446
"134","Coarse sand (with shell fragments)",-65.8129275776446,-45.0214940495789
"135","Rock",-65.8082818239927,-45.018296353519
"136","Rock",-65.8082215581089,-45.0182401109487
"137","Rock",-65.8098532631993,-45.0194713287055
"138","Rock",-65.8081889525056,-45.0182111933827
"139","Rock",-65.8081275969744,-45.0181541964412
"140","Rock",-65.8107292558998,-45.0199306569993
"141","Coarse sand (with shell fragments)",-65.8107292558998,-45.0199306569993
"142","Coarse sand (with shell fragments)",-65.8104771282524,-45.0197928585112
"143","Rock",-65.8090770151466,-45.0189546681941
"144","Rock",-65.807936405763,-45.0179757457227
"145","Rock",-65.8076769020408,-45.0177566427737
"146","Rock",-65.8075830247253,-45.0176729075611
"147","Rock",-65.8074933383614,-45.0175943691283
"148","Rock",-65.8096317294985,-45.0193278305233
"149","Rock",-65.8095892332494,-45.0193058699369
"150","Rock",-65.8070101216435,-45.0171407405287
"151","Gravel (2-10mm)",-65.806918758899,-45.0170487910509
"152","Gravel (2-10mm)",-65.8068892545998,-45.0170161854476
"153","Rock",-65.8066653739661,-45.0167922209948
"154","Gravel (2-10mm)",-65.806805184111,-45.016930187121
"155","Rock",-65.8066366240382,-45.0167657341808
"156","Rock",-65.806607119739,-45.0167400855571
"157","Rock",-65.8065471891314,-45.0166889559478
"158","Rock",-65.8065051119775,-45.0166294444352
"159","Rock",-65.8064698241651,-45.016560126096
"160","Rock",-65.8083639666438,-45.0183897279203
"161","Rock",-65.808338150382,-45.0183586310595
"162","Rock",-65.8080946560949,-45.0181252788752
"163","Rock",-65.808063140139,-45.0180986244231
"164","Rock",-65.8080027904361,-45.0180343352258
"165","Rock",-65.8077111002058,-45.017783716321
"166","Coarse sand (with shell fragments)",-65.8087859116495,-45.0187505688518
"167","Rock",-65.8085767831653,-45.0185980182141
"168","Rock",-65.808485923335,-45.0185121037066
"169","Rock",-65.8078753016889,-45.017921179533
"170","Rock",-65.8074008021504,-45.0175095442683
"171","Gravel (2-10mm)",-65.8073065057397,-45.0174261443317
"172","Gravel (2-10mm)",-65.8072745706886,-45.0173984002322
"173","Rock",-65.8071873150766,-45.0173144135624
"174","Gravel (2-10mm)",-65.8071278035641,-45.0172557402402
"175","Gravel (2-10mm)",-65.8070993889123,-45.017228666693
"176","Rock",-65.8070709742606,-45.0172010064125
"177","Gravel (2-10mm)",-65.8067793678492,-45.0169046223164
"178","Rock",-65.8087526354939,-45.0187239143997
"179","Rock",-65.808893116191,-45.0188272632658
"180","Coarse sand (with shell fragments)",-65.8102703467011,-45.0196814630181
"181","Rock",-65.8084212988615,-45.0184499938041
"182","Rock",-65.8078447077423,-45.0178936868906
"183","Rock",-65.8077768981457,-45.0178390368819
"184","Rock",-65.8069805335253,-45.0171085540205
"185","Rock",-65.8088199421763,-45.0187763012946
