video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at
127735,18479,"Sea stars","Biota > Echinoderms > Sea stars",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[1133.45,783.87]]",[106.910398],93762,"2020-05-21 17:07:44"
127769,18523,"True crabs","Biota > Crustacea > Crabs > True crabs",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[727.59,704.15]]",[192.792654],93796,"2020-05-21 17:58:56"
135488,149140,Bivalves,"Biota > Molluscs > Bivalves",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[613.14,517.49]]",[11.99492],100939,"2020-07-01 17:45:44"
135505,149459,"Carcinus maenas","Biota > Crustacea > Crabs > True crabs > Carcinus maenas",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[1371.65,476.47]]",[13.014939],100955,"2020-07-01 18:11:52"
135506,149459,"Carcinus maenas","Biota > Crustacea > Crabs > True crabs > Carcinus maenas",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[893.15,409.56]]",[27.09067],100956,"2020-07-01 18:12:10"
135507,149459,"Carcinus maenas","Biota > Crustacea > Crabs > True crabs > Carcinus maenas",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[1408.31,241.97]]",[38.921765],100957,"2020-07-01 18:12:26"
135512,149487,"Leucippa pentagona","Biota > Crustacea > Crabs > True crabs > Leucippa pentagona",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[309.68,635.8]]",[190.813681],100962,"2020-07-01 18:14:52"
135513,149487,"Leucippa pentagona","Biota > Crustacea > Crabs > True crabs > Leucippa pentagona",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[349.75,473.77]]",[190.813681],100963,"2020-07-01 18:14:55"
135514,149487,"Leucippa pentagona","Biota > Crustacea > Crabs > True crabs > Leucippa pentagona",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[501.34,271.01]]",[190.813681],100964,"2020-07-01 18:14:59"
135515,149487,"Leucippa pentagona","Biota > Crustacea > Crabs > True crabs > Leucippa pentagona",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[58.78,955.55]]",[191.284395],100965,"2020-07-01 18:15:20"
135516,149487,"Leucippa pentagona","Biota > Crustacea > Crabs > True crabs > Leucippa pentagona",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[121.89,705.86]]",[191.284395],100966,"2020-07-01 18:15:24"
135518,149452,"Anasterias antarctica","Biota > Echinoderms > Sea stars > Anasterias antarctica",508,Gonzalo,Bravo,1874,www.biigle.proyectosub.org/0001_GB.MP4,1,Point,"[[788.35,588.19]]",[24.578728],100968,"2020-07-01 18:16:46"
