video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_name,shape_id,shape_name,points,frames,video_annotation_id
135539,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1436.37,579.18]]",[162.083815],100989
135540,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1710.45,141.38]]",[168.465281],100990
135541,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[716.83,178.4]]",[176.901359],100991
135544,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[166.23,581.46]]",[223.387718],100994
135545,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[662.19,477.46]]",[225.181703],100995
135547,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1831.02,735.81]]",[228.845645],100997
135548,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[64.18,280.8]]",[230.505147],100998
135549,149487,"Leucippa pentagona","Biota > Crustacea > Crabs > True crabs > Leucippa pentagona",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[965.62,180.87]]",[230.801243],100999
135551,149452,"Anasterias antarctica","Biota > Echinoderms > Sea stars > Anasterias antarctica",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[604.22,811.53]]",[231.752107],101001
135552,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1406.77,753.37]]",[240.356385],101002
135553,149143,"Bony fishes","Biota > Fishes > Bony fishes",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1442.69,688.64]]",[243.057944],101003
135556,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[948.36,658.55]]",[280.302138],101006
135559,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1731.37,368.56]]",[285.531717],101009
135560,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[597.08,146.84]]",[285.531717],101010
135561,149343,"Sea stars","Biota > Echinoderms > Sea stars",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[976.22,828.97]]",[285.821219],101011
135562,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[291.31,767.59]]",[288.794707],101012
135565,149143,"Bony fishes","Biota > Fishes > Bony fishes",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1009.48,535.18]]",[301.921625],101015
135566,149143,"Bony fishes","Biota > Fishes > Bony fishes",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[863.71,364.12]]",[303.242104],101016
135567,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[730.59,524.7]]",[308.57],101017
135569,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[555.18,642.27]]",[321.146437],101019
135570,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1160.53,407.07]]",[321.83072],101020
135571,149143,"Bony fishes","Biota > Fishes > Bony fishes",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1307.29,839.57]]",[322.387427],101021
135572,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[628.69,440.71]]",[322.837581],101022
135573,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1552.83,402.08]]",[323.344018],101023
135575,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[109.14,534.32]]",[327.437573],101025
135576,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1624.77,247.53]]",[327.437573],101026
135577,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1683.27,864.54]]",[328.242428],101027
135579,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1250.56,433.77]]",[328.796617],101029
135580,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[127.59,273.19]]",[331.063484],101030
135581,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1435.87,532.68]]",[337.583109],101031
135582,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[556.71,481.65]]",[338.242955],101032
135583,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[237.59,501.63]]",[342.084585],101033
135584,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1581.24,461.36]]",[344.147826],101034
135585,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[724.47,409.38]]",[344.858418],101035
135586,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[566.12,441.04]]",[345.815193],101036
135587,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[969.72,931.08]]",[347.65616],101037
135588,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[975.89,229.99]]",[348.705804],101038
135589,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1448.54,224.05]]",[348.705804],101039
135590,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[652.69,734.84]]",[348.705804],101040
135591,149468,"Polyzoa opuntia","Biota > Ascidians > Unstalked > Colonial > Polyzoa opuntia",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[943.02,428.45]]",[348.705804],101041
135592,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1768.4,390.31]]",[365.966842],101042
135593,149343,"Sea stars","Biota > Echinoderms > Sea stars",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1060.91,778.45]]",[369.275326],101043
135594,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[365.17,714.98]]",[370.287428],101044
135595,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[776.14,728.12]]",[376.973176],101045
135596,149483,"Macrocystis pyrifera","Biota > Macroalgae > Large canopy-forming > Brown > Macrocystis pyrifera",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1486.34,160.97]]",[385.008988],101046
135597,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[511.02,854.87]]",[387.358897],101047
135598,149143,"Bony fishes","Biota > Fishes > Bony fishes",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[224.1,262.22]]",[389.870536],101048
135599,149482,"Undaria pinnatifida","Biota > Macroalgae > Large canopy-forming > Brown > Undaria pinnatifida",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1628.24,693.78]]",[394.990314],101049
