Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2020:03:04 12:20:29,16.9,1.2,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:30,16.8,1.6,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:31,16.8,2,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:32,16.8,2.2,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:33,16.8,2.3,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:34,16.8,2.5,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:35,16.8,2.5,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:36,16.8,2.6,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:37,16.7,2.6,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:38,16.7,2.5,,0,29,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:39,16.7,2.5,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:40,16.7,2.3,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:41,16.7,2.5,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:42,16.7,2.5,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:43,16.6,2.4,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:44,16.6,2.4,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:45,16.6,2.5,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:46,16.6,2.6,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:47,16.6,2.6,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:48,16.6,2.5,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:49,16.6,2.4,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:50,16.6,2.4,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:51,16.6,2.4,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:52,16.6,2.5,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:53,16.6,2.6,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:54,16.6,2.6,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:55,16.5,2.7,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:56,16.5,3,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:57,16.5,3.2,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
2020:03:04 12:20:58,16.5,3.3,,0,28,Video,1080P,100,On,Green,On,Off,Off,33,1.5.2
